module1,module2,relationship
CSY2042,CSY1018,PRE_REQUISITE
CSY2001,CSY1017,PRE_REQUISITE
CSY2002,CSY1014,PRE_REQUISITE
CSY2006,CSY1019,PRE_REQUISITE
CSY2008,CSY1019,PRE_REQUISITE
CSY2015,CSY1014,PRE_REQUISITE
CSY2028,CSY1018,PRE_REQUISITE
CSY2028,CSY1020,PRE_REQUISITE
CSY2030,CSY1020,PRE_REQUISITE
CSY2038,CSY1026,PRE_REQUISITE
CSY2033,CSY1020,PRE_REQUISITE
CSY2033,CSY1026,PRE_REQUISITE
CSY2034,CSY1024,PRE_REQUISITE
CSY2034,CSY1025,PRE_REQUISITE
CSY2035,CSY1015,PRE_REQUISITE
CSY3013,CSY2030,PRE_REQUISITE
CSY3015,CSY2015,PRE_REQUISITE
CSY3022,CSY2001,PRE_REQUISITE
CSY3023,CSY2028,PRE_REQUISITE
CSY3024,CSY2038,PRE_REQUISITE
CSY3028,CSY2028,PRE_REQUISITE
CSY3028,CSY2033,PRE_REQUISITE
CSY3032,CSY2041,PRE_REQUISITE
CSY3030,CSY2034,PRE_REQUISITE
CSY3030,CSY2035,PRE_REQUISITE
CSY3031,CSY2035,PRE_REQUISITE
CSY4010C,CSY2002,PRE_REQUISITE
CSY4010C,CSY2026,PRE_REQUISITE
CSY4010C,CSY2028,PRE_REQUISITE
CSY4010C,CSY2030,PRE_REQUISITE
CSY4010C,CSY2038,PRE_REQUISITE
CSY4010C,CSY2027C,PRE_REQUISITE
CSY4010C,CSY1017,PRE_REQUISITE
CSY4010C,CSY1019,PRE_REQUISITE
CSY4010GV,CSY2026,PRE_REQUISITE
CSY4010GV,CSY2030,PRE_REQUISITE
CSY4010GV,CSY2038,PRE_REQUISITE
CSY4010GV,CSY2033,PRE_REQUISITE
CSY4010GV,CSY2027GV,PRE_REQUISITE
CSY4010GV,CSY2028,PRE_REQUISITE
CSY4010GV,CSY1019,PRE_REQUISITE
CSY4010GV,CSY1014,PRE_REQUISITE
CSY4010GV,CSY1017,PRE_REQUISITE
CSY4010CN,CSY1019,PRE_REQUISITE
CSY4010CN,CSY2001,PRE_REQUISITE
CSY4010CN,CSY2002,PRE_REQUISITE
CSY4010CN,CSY2026,PRE_REQUISITE
CSY4010CN,CSY2028,PRE_REQUISITE
CSY4010CN,CSY2038,PRE_REQUISITE
CSY4010CN,CSY2027CN,PRE_REQUISITE
CSY4010CS,CSY1017,PRE_REQUISITE
CSY4010CS,CSY1019,PRE_REQUISITE
CSY4010CS,CSY1026,PRE_REQUISITE
CSY4010CS,CSY2002,PRE_REQUISITE
CSY4010CS,CSY2015,PRE_REQUISITE
CSY4010CS,CSY2026,PRE_REQUISITE
CSY4010CS,CSY2028,PRE_REQUISITE
CSY4010CS,CSY2030,PRE_REQUISITE
CSY4010CS,CSY2027CS,PRE_REQUISITE
CSY4010WT,CSY1014,PRE_REQUISITE
CSY4010WT,CSY1019,PRE_REQUISITE
CSY4010WT,CSY2001,PRE_REQUISITE
CSY4010WT,CSY2026,PRE_REQUISITE
CSY4010WT,CSY2028,PRE_REQUISITE
CSY4010WT,CSY2030,PRE_REQUISITE
CSY4010WT,CSY2038,PRE_REQUISITE
CSY4010WT,CSY2027WT,PRE_REQUISITE
CSY4010MC,CSY1019,PRE_REQUISITE
CSY4010MC,CSY1026,PRE_REQUISITE
CSY4010MC,CSY2001,PRE_REQUISITE
CSY4010MC,CSY2002,PRE_REQUISITE
CSY4010MC,CSY2026,PRE_REQUISITE
CSY4010MC,CSY2028,PRE_REQUISITE
CSY4010MC,CSY2030,PRE_REQUISITE
CSY4010MC,CSY2027MC,PRE_REQUISITE
CSY4010SE,CSY1017,PRE_REQUISITE
CSY4010SE,CSY1014,PRE_REQUISITE
CSY4010SE,CSY2006,PRE_REQUISITE
CSY4010SE,CSY2008,PRE_REQUISITE
CSY4010SE,CSY2028,PRE_REQUISITE
CSY4010SE,CSY2030,PRE_REQUISITE
CSY4010SE,CSY2038,PRE_REQUISITE
CSY4010SE,CSY2027SE,PRE_REQUISITE
CSY4010BCS,CSY1019,PRE_REQUISITE
CSY4010BCS,CSY1030,PRE_REQUISITE
CSY4010BCS,CSY2041,PRE_REQUISITE
CSY4010BCS,BUS2015,PRE_REQUISITE
CSY4010BCS,CSY2028,PRE_REQUISITE
CSY4010BCS,CSY2030,PRE_REQUISITE
CSY4010BCS,CSY2038,PRE_REQUISITE
CSY4010BCS,CSY2027BCS,PRE_REQUISITE
CSY4010BCW,CSY1014,PRE_REQUISITE
CSY4010BCW,CSY1019,PRE_REQUISITE
CSY4010BCW,CSY1030,PRE_REQUISITE
CSY4010BCW,CSY2041,PRE_REQUISITE
CSY4010BCW,CSY2042,PRE_REQUISITE
CSY4010BCW,CSY2043,PRE_REQUISITE
CSY4010BCW,CSY2028,PRE_REQUISITE
CSY4010BCW,CSY2030,PRE_REQUISITE
CSY4010BCW,CSY2038,PRE_REQUISITE
CSY4010BCW,CSY2027BCW,PRE_REQUISITE
CSY4010GD,CSY1026,PRE_REQUISITE
CSY4010GD,CSY2006,PRE_REQUISITE
CSY4010GD,CSY2026,PRE_REQUISITE
CSY4010GD,CSY2028,PRE_REQUISITE
CSY4010GD,CSY2033,PRE_REQUISITE
CSY4010GD,CSY2034,PRE_REQUISITE
CSY4010GD,CSY2035,PRE_REQUISITE